cluster,Predicted SM
Os1W1Ag1Mn1S1O2C1,5
Hf3Ni1O4+,2
Os1W1Hf1Mn1S1C1,6
Ta1Cd1Pd1Co1N2C1-,3
Zn1Mn1Sc2O1N1C2+,5
Zr1Cu2Mn1S1O1C2-,4
Ag3Cr1C3,4
Fe2V2C2-,5
Ir1Cd1Ru1Cu1S2N1C1-,3
Os1Hf2Nb1O3N1+,2
Os1W1La1Zn1S1C1+,1
Os1Nb1Zr1Fe1O1N3+,4
Au1Y3C1-,2
Ru1Tc1Mn2O1N2,8
Ta1Ni1Cr1Sc1C2,3
Ir1Ta3O3N1+,1
Fe2Ti2O2N1+,7
Pd1Ru1Fe1Ti1O1N2,4
Mo2Ag1La1+,2
Au1Mo1Zr1Fe1S1O1C1,4
Pt1Hf1La1V1N1C1-,3
Au3Cr1N2+,6
Hg1Ru1Tc1Fe1S1N1C1-,6
Ir3Zn1S1N2+,2
Ta1Ag1Ru1Tc1S3C1,2
Cd3Ni1O3,3
Rh1Nb3O1+,1
Au1Os1Tc1Co1N1C1,5
La1Ni1Co1Fe1O2-,8
Zr3Sc1O4+,1
Y4S1,2
Hg1Pt1Cd1Nb1O1+,1
Tc1Cu1Co1V1S2C1,3
Re1La1Zn1Co1O1N1C1+,4
W2Zn2N3+,1
Ta2Hf2S1O1N2-,2
Pt1Ir1Os1Rh1S1O1+,3
Ni4,7
Zn2Co1Cr1S1N2C1,7
Hg2Os1Cu1S1O1C1,2
Pd1Co1Cr1V1O3N1,2
Os1Ta1Hf1La1O4,1
Pd1Zr1Ni1Sc1S1C1+,1
Hf1Mn3C2,12
Hg1Mo1Ni1Fe1O2C1+,4
Ag2V2O2C1,3
Au1W1La1Nb1S1O2C1+,1
Hf1Zr3O2C2+,2
Rh2Ru2O1N1+,1
Tc1Cu1Fe1Sc1S3C1+,3
Hf1Nb1Zr2O4+,1
Hg1Sc3C1-,1
Os1Hf1Nb1Ti1S3+,1
Hg1Mo2V1S1C3-,3
Au1Pd1V1Ti1O3+,2
Hg1Cu3N1C2+,2
W3Zn1O1N1,2
Au3Zr1C1+,1
Pt2Os1Mo1O2N2+,3
Re1Ru1Co1Ti1S2O1+,4
Hg2W1Co1S1O1N1+,2
Au3Zn1C1,2
Hg1Re1Zr1Ti1S1C2+,1
Os1Ta3C4+,1
Rh1Tc1Mo1Co1S1O1N1-,5
W3Tc1N2C1+,2
Au1Os1W1Mn1N3C1-,5
Tc2Zn1Co1O2N2-,3
Ir1Ta1Nb1Ti1O4+,1
Pd1Mn1Ti1Sc1N1+,5
Pd1Mo1Cr1V1O2C1-,5
Cd1Mn1Cr1Ti1O1N3,5
Ta1Hf1Nb1Zr1O2N1C1+,1
Ta3Tc1O4,1
Os1Mo1Fe1Mn1S1C1-,7
Zn3Mn1O1N1+,6
Nb1Ru3,2
Pt1Ir1Cd1Tc1S1+,6
Ir1Ag1Ni1Co1O1C3-,3
Pt2Cd1Mn1S1N2-,6
Zr3Y1S3+,3
Ta1Hf1Zr2O4+,1
Au3Mo1N2+,2
Re3W1S3,2
Os1Ta3O3+,1
Tc1Zr2Ti1O4+,1
Os1Cd1Ag1Zr1N1+,2
Pt3Ni1S1O1C1+,4
Hg1W1Fe1Ti1S2,3
Re1Ta3O3C1+,2
Pt1Re1W1Zr1N1-,2
W1Ta1Cd1Fe1S2N1,5
Zr1Cr3S1C1-,6
Ru1Mo2Mn1S2O1N1+,4
Pd2V2C2-,1
Nb2Y2S1,3
Pt1La1Pd1Ni1O1,2
Cd3Mn1S2C1+,5
Ir1Ta1Hf1La1O3N1+,2
Ir1Nb1Zn1V1S1C2+,3
Hf1Zn3S1O1,1
V3Mn1,3
Ru2Fe2S2,7
Ta2Tc1Ti1O4+,2
Ir1Hf1Zr2O3N1-,2
Ir1Co1V2S1N1C1-,4
Co1Mn1Cr1V1O4-,5
Hg1La1Cr1Sc1O3C1,5
Pt1Mo1Ni1V1O1N2-,2
Au1Os1Zn1Cr1S4,6
W1Tc1Nb1Y1S1O1N1C1-,2
Zn1Cr3S1O1+,6
W1Ta2Hf1N1C3+,2
Au1Cu1Co1V1O1C1,3
Re1Cd2Ti1S1C2,2
Nb1Zr3O3C1+,1
Au3Tc1O1-,2
Au1Cu1Fe1Sc1O2,6
Os1Hf1Zr1Ti1O4,1
Ru1Tc1Mo1V1O1C3-,2
Ta1Hf1Tc1Zr1O3N1+,1
Ru2Mn2S1C2+,9
Hg1Hf1Cr1Sc1S2N1C1+,4
Au1Ag1Pd1Fe1S1N1C1,4
Ta1Pd1Fe1V1C1,3
Cu1Co3O2,7
Ag2Cu2S1+,2
Os1Ta2Hf1O3C1-,3
Ir2W1Zn1N1C3,1
Au4,2
Cu3Mn1S2O1-,4
Cd3V1S1N2+,2
Ta2Zn2S1C1,2
Cr3V1C3+,7
Ir1Hf1Cu1Ti1S3-,2
Ni3Mn1O1C2,6
Ir1Ta1Hf1V1O4+,3
Re1Ru1Zn1Mn1S2O2,5
Os1Re1Y1Cu1O1N2,3
Au1Rh1Tc1Mn1N1,7
Mo1Zr2Ti1N2,2
Pd1Zr2Ni1N2C1+,1
Ir1W1Ag1Ru1N1-,3
Hg3Sc1S1O1,2
W1Zr1Zn1Ni1S1-,2
La1Mo1Sc2S1C3+,2
Ag1Zn1Cr1Sc1S2O1C1-,4
Ir2Hf2N3C1+,2
Y3Zn1N1C1,3
Os2Cu1Cr1S1O2+,5
Ru4-,12
W1Mo2Zr1N2C2+,3
Mo1Zr1Cr1Ti1C2-,4
Os1Ta1Hf1Nb1O3C1-,2
Hf3Ti1O4+,2
Rh2Co1Sc1O1C3,3
Pt1La1Mo1Nb1S1N2+,1
Rh1Nb1Fe1V1S1N1-,3
Os2Tc1Zn1S1C2+,3
Au1Pt1Co1Fe1N2-,5
Rh1Zn1Cu1Sc1S1C3-,2
Pd3Tc1N1C1+,6
Ru4S1,7
Mn2V2S1N1+,9
