cluster,AEPA
Mn1Cr1O2,3.2824
La1Ni1O1C1,3.9100
Zn1Co1O2+,2.6187
Zn1Ni1S2+,2.3451
W1Tc1S1C1,3.8193
V1Ir1+,2.3748
Hf1Mn1O1+,3.4658
Rh1Tc1S2+,3.0928
W1Co1O2-,4.4312
Ti1La1-,1.2109
Nb1Cr1S1+,2.7517
Ti1La1+,1.3538
Au1Mn1O1N1+,2.5450
Ag1Tc1S1N1,2.9662
Os1Mn1O1C1+,4.0171
Cr1Ti1C2+,3.8476
Pt1Hf1O2-,4.4296
Zr1Cu1N1,2.8315
Cr1Ti1C2-,3.6382
Ta1Zn1N2-,3.4424
Co1Mn1C2+,3.8065
Cd1Ni1S1N1,2.1007
Co1Mn1C2-,3.5516
Nb1Sc1O1+,3.6342
Re1Zn1O2,3.3415
La1Sc1O1C1-,4.0403
Hf1Rh1N1C1+,4.4365
Hf1Rh1N1C1-,4.4653
Zr1Co1O1C1,4.0393
Y1Ti1N2+,4.4021
Pd1Ru1S1O1+,2.9499
Re1Fe1S1N1-,3.2875
Pt1Nb1O1C1,4.3253
Re1Fe1S1N1+,3.4095
Au1Cd1S1N1,1.7409
Pd1Ru1S1O1-,3.1756
Os1Co1O1N1+,3.5389
Os1Co1O1N1-,3.7174
Zn1Co1O2-,2.8849
Ni1Ti1N2+,3.3599
Os1Cr1O2+,3.5188
La1Sc1O1C1+,4.2921
Re1Zr1O1C1-,4.4980
Cd1Ag1O1N1-,1.9925
Cd1Ag1O1N1+,2.2383
Tc1Nb1C2,4.4869
Ag1Zn1S2-,2.0593
Ag1Zn1S2+,1.7783
Rh1Tc1C2+,4.1535
Pt1Ni1N1C1,3.9117
Cr1Sc1C1+,2.5973
Cr1Sc1C1-,2.2925
Ag1Co1S1O1,2.5854
Zn1Cr1S1N1-,2.2309
Hg2S2,1.1025
Hg2S1,0.3723
Hf1Cu1O1N1,3.6009
Ta1Sc1O2+,4.8816
Ta1Co1N1-,3.4467
Cd1Zn1S2,1.6329
Ta1Sc1O2-,4.7316
Cd1Zn1S1,0.7962
Cd1Rh1O2+,2.4090
Mo1Zn1S1C1+,2.7616
Mo1Zn1S1C1-,2.6881
Zn1Cu1O1N1,2.1465
Ta1Cd1N2-,3.2715
Y1Fe1S1O1+,3.9336
Ta1Zn1N1C1,3.3000
Pt1Mn1N2,3.4411
La1Ti1N2,4.1746
Ni1Ti1S1C1+,3.3776
La1Ti1N1,3.1294
Ni1Ti1S1C1-,3.3521
Ta1Y1O2+,4.9792
Pt1Zn1S1O1+,2.6990
Mo1Co1S1O1+,3.5033
Ag1Ta1-,0.7834
La1V1O1C1+,4.4061
Pt1V1S1C1,3.5457
La1V1O1C1-,4.1514
Zr1Ir1,3.1628
Mo1Co1S1O1-,3.4175
Ag1Ta1+,1.0672
W1Cu1O1C1,3.7465
Rh1V1O1N1,3.5897
Au1Ru1S1O1+,2.7313
Ir1W1S1N1,3.7167
Au1Ru1S1O1-,3.1228
Re2O1,3.0432
Ag1Cd1,0.2517
Re1Mo1O1N1-,3.9317
Pt1La1O1N1-,3.5692
Tc1Cr1N1C1,3.6268
Pt1V1N2-,3.6108
Re1Mo1O1N1+,3.6931
Y1Mn1S2-,3.2408
Au1V1O1C1+,3.6502
Ni1Sc1S1+,2.8585
Os1Rh1O1C1,4.1069
Au1Ir1C1-,3.1282
Tc1Mo1O1-,3.1920
Au1V1O1C1-,3.6337
Hf1Cr1N1C1+,3.8905
Rh1Mn1N2+,3.3275
Hf1Cr1N1C1-,3.7108
Rh1Mn1N2-,3.3631
V1Sc1N2-,4.1592
Pt1La1S1O1-,3.8116
Au1La1S1C1,3.2219
Cr1Ag1,0.7158
Tc1Co1C2-,3.9622
Ir1Zr1N1C1,4.7187
Ru1Sc1O1+,3.2705
Re1Ag1S2+,2.7929
V1Sc1N2,3.9280
V1Sc1N1,2.9455
Mn1V1S1O1,3.5677
Re1Ag1S2-,2.9036
Ir1Hf1S1C1,4.1637
Au1Mn1O1N1-,2.9013
Nb1Re1-,2.6510
Nb1Re1+,2.6047
Rh1Ni1N2-,3.4770
Co2O2+,3.2315
Zr2N1C1,4.5907
