cluster,EZPE
Nb1Cu1S1O1-,-2171.183826
Cd1Ag1S1C1+,-750.724516
Ru1Tc1S1O1,-649.219345
Rh2S1O1,-694.580916
Co1Ti1O1C1,-2345.648647
Nb1Cu1S1O1+,-2170.857341
Cd1Ag1S1C1-,-750.981877
Ag1Sc1N2-,-1017.245925
Re1Sc1O1C1,-952.379982
Pt1Y1S2,-954.241147
La1Sc1N1-,-847.095093
Ag1Sc1N2+,-1016.993494
Ir1Ru1S1C1-,-635.604376
La1Nb1S1N1+,-541.457421
Y1Co1O1N1+,-1551.00061
Re1Y1N2,-226.183312
Ir1Ru1S1C1+,-635.284848
Pt1Ru1C2,-290.361121
Hf1Cr1N2,-1202.079391
Hf1Cr1N1,-1147.243358
Pt1Ru1C1,-252.264263
Pd2N1C1+,-348.343573
Zn1Fe1N1C1-,-3136.059706
Zn1Cu1O1+,-3494.909658
Cd1Tc1N1+,-302.996575
Mo1Cr1O1N1,-1242.757537
La1Y1C1,-107.885813
Zn1Cu1O1-,-3495.214013
Cd1Tc1N1-,-303.274419
Tc2S1O1,-635.129525
Ir1Mo1S1O1-,-646.188192
Cu1V1O1,-2659.85646
Cu1V1O2,-2735.183842
Zn1Cr1O2+,-2974.196471
Ru1Ni1S1N1+,-2056.011479
Tc1Ti1N2,-1039.835673
W1Tc1O1-,-223.159503
Ru1Ni1S1N1-,-2056.357062
Au1Ni1S1N1-,-2097.1673
Hg1Y1O1,-267.06844
Hg1Y1O2,-342.339535
Ni1Pt1,-1627.659078
Au2S1N1,-724.398906
Pd1Tc1N1C1-,-301.592029
Au1Ni1S1N1+,-2096.799362
Mo1Ti1S1C1,-1354.018771
Ir1La1N2-,-245.535804
Ag1Zn1C2-,-2002.50693
Ag1Zn1C2+,-2002.194868
Ir1La1N2+,-245.299548
Y1Fe1S1O1-,-1775.739751
Os1Fe1S1O1+,-1827.706396
Pt1Pd1N1C1-,-340.156754
Hg1Ni1N1C1,-1754.727142
W1Y1S1O1,-578.979198
Pt1Fe1C1+,-1420.872529
Ir1Cr1O1C1,-1262.237622
Tc1Re1,-158.970599
Rh1Fe1N1-,-1429.059463
Hf1Mn1O1-,-1274.332339
Cr1Hg1+,-1197.713616
Hg1Mo1O1N1+,-351.444754
Y1Zn1S1N1-,-2270.79733
Hg1Mo1O1N1-,-351.775054
Y1Zn1S1N1+,-2270.501701
Cr1Hg1-,-1197.96056
Sc1Cr1-,-1805.140572
W1Ni1S1O1+,-2048.766854
Sc1Cr1+,-1804.93038
Re1Ag1O1-,-300.502831
Zn2O1C1-,-3672.163491
Mn1Cr1O2,-2346.13816
La1Ni1O1C1,-1653.318864
Zn1Co1O2+,-3312.456053
Zn1Ni1S2+,-4084.016424
W1Tc1S1C1,-584.178433
V1Ir1+,-1048.0812
Hf1Mn1O1+,-1274.084559
Rh1Tc1S2+,-987.600921
W1Co1O2-,-1600.575014
Ti1La1-,-880.950139
Nb1Cr1S1+,-1499.453827
Ti1La1+,-880.74405
Au1Mn1O1N1+,-1416.496602
Ag1Tc1S1N1,-680.776872
Os1Mn1O1C1+,-1354.835183
Cr1Ti1C2+,-1969.892787
Pt1Hf1O2-,-318.019032
Zr1Cu1N1,-1742.318152
Cr1Ti1C2-,-1970.129058
Ta1Zn1N2-,-1945.96924
Co1Mn1C2+,-2609.767737
Cd1Ni1S1N1,-2129.059286
Co1Mn1C2-,-2610.029243
Nb1Sc1O1+,-892.722633
Re1Zn1O2,-2008.256491
La1Sc1O1C1-,-905.711802
Hf1Rh1N1C1+,-251.192471
Hf1Rh1N1C1-,-251.483931
Zr1Co1O1C1,-1543.195963
Y1Ti1N2+,-997.222912
Pd1Ru1S1O1+,-695.985101
Re1Fe1S1N1-,-1795.143626
Pt1Nb1O1C1,-289.656437
Re1Fe1S1N1+,-1794.824585
Au1Cd1S1N1,-756.385269
Pd1Ru1S1O1-,-696.363381
Os1Co1O1N1+,-1603.25198
Os1Co1O1N1-,-1603.592127
Zn1Co1O2-,-3312.804069
Ni1Ti1N2+,-2467.154449
Os1Cr1O2+,-1285.470741
La1Sc1O1C1+,-905.505812
Re1Zr1O1C1-,-238.721731
Cd1Ag1O1N1-,-444.669138
Cd1Ag1O1N1+,-444.382311
Tc1Nb1C2,-213.884929
Ag1Zn1S2-,-2722.939703
Ag1Zn1S2+,-2722.547784
Rh1Tc1C2+,-267.219822
Pt1Ni1N1C1,-1720.586105
Cr1Sc1C1+,-1843.014044
Cr1Sc1C1-,-1843.245102
Ag1Co1S1O1,-2003.276547
Zn1Cr1S1N1-,-3276.991724
Hg2S2,-1103.383518
Hg2S1,-705.129682
Hf1Cu1O1N1,-1818.607542
Ta1Sc1O2+,-968.161727
Ta1Co1N1-,-1494.58444
Cd1Zn1S2,-2743.608748
Ta1Sc1O2-,-968.394404
Cd1Zn1S1,-2345.323675
Cd1Rh1O2+,-428.442375
Mo1Zn1S1C1+,-2283.618188
Mo1Zn1S1C1-,-2283.943102
Zn1Cu1O1N1,-3549.932067
Ta1Cd1N2-,-334.260141
Y1Fe1S1O1+,-1775.484174
Ta1Zn1N1C1,-1929.188477
Pt1Mn1N2,-1379.959746
La1Ti1N2,-990.685589
Ni1Ti1S1C1+,-2793.928318
La1Ti1N1,-935.804014
Ni1Ti1S1C1-,-2794.215571
Ta1Y1O2+,-245.756634
Pt1Zn1S1O1+,-2371.933478
Mo1Co1S1O1+,-1924.320664
Ag1Ta1-,-203.840354
La1V1O1C1+,-1088.814742
Pt1V1S1C1,-1499.67668
La1V1O1C1-,-1089.020309
Zr1Ir1,-151.341837
Mo1Co1S1O1-,-1924.643772
Ag1Ta1+,-203.563011
W1Cu1O1C1,-1820.962279
Rh1V1O1N1,-1184.617481
Au1Ru1S1O1+,-703.811239
Ir1W1S1N1,-624.452056
Au1Ru1S1O1-,-704.222423
Re2O1,-231.768231
Ag1Cd1,-314.64044
Re1Mo1O1N1-,-276.582465
Pt1La1O1N1-,-281.02767
Tc1Cr1N1C1,-1218.152148
Pt1V1N2-,-1172.981778
Re1Mo1O1N1+,-276.245552
Y1Mn1S2-,-1986.006995
Au1V1O1C1+,-1192.862411
Ni1Sc1S1+,-2667.147476
Os1Rh1O1C1,-314.57009
Au1Ir1C1-,-278.180006
Tc1Mo1O1-,-224.261645
Au1V1O1C1-,-1193.169755
Hf1Cr1N1C1+,-1185.117692
Rh1Mn1N2+,-1370.90048
Hf1Cr1N1C1-,-1185.378492
Rh1Mn1N2-,-1371.192204
V1Sc1N2-,-1814.384407
Pt1La1S1O1-,-624.583183
Au1La1S1C1,-603.625808
Cr1Ag1,-1191.424073
Tc1Co1C2-,-1539.782937
Ir1Zr1N1C1,-244.280244
Ru1Sc1O1+,-930.647418
Re1Ag1S2+,-1021.48159
V1Sc1N2,-1814.35042
V1Sc1N1,-1759.484823
Mn1V1S1O1,-2568.66991
Re1Ag1S2-,-1021.834839
Ir1Hf1S1C1,-588.687189
Au1Mn1O1N1-,-1416.880435
Nb1Re1-,-135.18764
Nb1Re1+,-134.914573
Rh1Ni1N2-,-1728.514748
Co2O2+,-2915.90029
Zr2N1C1,-186.925234
Cd1Ti1S2+,-1813.481496
Cd1Ti1S2-,-1813.807187
Cd2O1C1,-448.785126
Hg1Cr1S2-,-1994.587638
Cd1Y1O2-,-356.658438
Os1Rh1O2-,-351.856813
Re1Co1S1O1,-1934.673693
Au1Mn1S1N1-,-1739.873143
Cd1Y1O2+,-356.37386
Tc1W1+,-147.553226
Hf1Cu1S1N1+,-2141.352432
Au1Ni1N1-,-1698.861204
Au1Ni1N1+,-1698.501442
W1Zn1N2,-1955.997548
Zr1Co1S2-,-2226.496615
Hf1Cu1S1N1-,-2141.66428
Au1Mn1S1N1+,-1739.491727
Ir1Cu1C1+,-1782.654839
Ir1Cu1C1-,-1782.992036
Nb1Mo1,-125.051959
Re1V1O1-,-1097.566179
Cd1Sc1C2-,-1004.579499
Cr1Sc1S1+,-2203.270174
Cd1Sc1C2+,-1004.319203
Cr1Sc1S1-,-2203.511134
Tc1Fe1O2+,-1494.844068
Pd1Ni1O1-,-1711.504985
Hg1Cr1S2+,-1994.229034
La1Rh1S1N1,-595.187699
Ti1Zr1-,-896.385603
Pd1Ni1O1+,-1711.188772
Ag1Sc1N1C1+,-1000.300043
Zr1Cd1+,-214.393006
Ag1Sc1N1C1-,-1000.591057
Ni1Cr1C2+,-2628.768302
Ni1Cr1C2-,-2629.044728
Os1V1S1C1,-1471.028167
Au1Cd1O1N1+,-433.149315
W2N2-,-243.75118
Ta1Mn1N2+,-1317.385536
Rh1Mn1O2-,-1412.176297
Ta1Mn1N2-,-1317.65338
Zn1Hg1,-1932.874028
Au1Cd1O1N1-,-433.468836
Co1Fe1O1C1,-2759.944636
Ru1Tc1N1C1,-268.502972
Zr1Cr1N1C1,-1184.378113
Tc1Ti1N2-,-1039.877798
Tc1Mn1S1N1-,-1684.94243
Zr1Co1S1N1-,-1882.977866
Ti2O2+,-1849.398753
Os1Nb1O2,-298.220414
Y1Fe1S1N1+,-1754.936267
Zn2N1C1+,-3651.403273
Ag1La1-,-178.490479
Mo1Y1C1+,-144.296862
La1Mn1O1N1-,-1312.757033
Mo1Y1C1-,-144.530075
La1Mn1O1N1+,-1312.545705
Tc1Ti1S1,-1328.540296
Ag1La1+,-178.267885
Ag1Nb1C1+,-241.645014
Hg1La1O2+,-335.356015
Co1Sc1C1-,-2181.574996
W1Cr1C1,-1149.569229
Co1Sc1C1+,-2181.328281
Zr1Fe1S1O1,-1784.404889
Ag1Nb1C1-,-241.912028
Cr1Zn1,-2823.869842
Y1Mn1C2-,-1265.515524
Re1Tc1C2-,-235.245746
Os1Rh1O1-,-276.514195
Ag1Zn1N1C1,-2019.247307
Cu1Fe1C2,-2980.434565
Hg1Ti1C2+,-1078.801313
Y1Mn1C2+,-1265.269453
Cu1Fe1C1,-2942.312835
Pt1La1S2-,-947.57582
W1Cr1O1+,-1186.588683
Pt1La1S2+,-947.278747
W1Cr1O1-,-1186.856825
Os2S1O1,-654.878633
W1Fe1O1C1,-1444.164704
Nb1Co1S1O1+,-1913.129091
W1Hf1S1+,-513.046683
Nb1Fe1O1N1-,-1450.846305
Nb1Co1S1O1-,-1913.433895
Os1Zr1S1O1,-611.290698
Os1Ta1N2-,-257.275005
Co1Mn1S1N1-,-2986.962694
